SM-3MG68	Tlahuica
SM-3MG69	Tlahuica
SM-3MG62	Chontal_Oax
SM-3MG63	Huave
SM-3MG61	Chontal_Oax
SM-3MG66	Matlalzinca
SM-3MG67	Cumiai
SM-3MG64	Matlalzinca
SM-3MG65	Matlalzinca
SM-3MG6B	Zapoteco
SM-3MG6A	Mazahua
SM-3MGPX	32-Otomi
SM-3MGPY	32-Otomi
SM-3MGPZ	32-Otomi
SM-3MGPP	Popoluca_Sierra
SM-3MGPQ	23-Nahuatl
SM-3MGPR	Zapoteco
SM-3MGPS	Popoluca_Sierra
SM-3MGPU	Chinanteco
SM-3MGPW	32-Otomi
SM-3MGPL	Kaqchiquel
SM-3MGPN	Mame
SM-3MGPO	Chinanteco
SM-3MG3P	Tzotzil
SM-3MG3R	Mocho
SM-3MG3U	Kaqchiquel
SM-3MG3V	Kaqchiquel
SM-3MG3Y	Kaqchiquel
SM-3MG3Z	Mame
SM-3MG3M	16-Nahuatl
SM-3MG3L	16-Nahuatl
SM-3MG3O	16-Nahuatl
SM-3MG3N	16-Nahuatl
SM-3MG5W	Maya
SM-3MG5V	Maya
SM-3MG5U	Maya
SM-3MG5T	Maya
SM-3MG5S	Maya
SM-3MG5R	Mixe
SM-3MG5Q	Mixe
SM-3MG5P	Mixe
SM-3MG5Z	Chontal_Oax
SM-3MG5Y	32-Otomi
SM-3MG5G	Mixteco
SM-3MG5F	20-Chocholteco
SM-3MG5E	19-Chocholteco
SM-3MG5D	Zapoteco
SM-3MG5C	Zapoteco
SM-3MG5B	23-Nahuatl
SM-3MG5A	23-Nahuatl
SM-3MG5O	Zoque
SM-3MG5N	Mixe
SM-3MG5M	Mixe
SM-3MG5L	Chinanteco
SM-3MG5J	Tacuate
SM-3MG5H	23-Nahuatl
SM-3MG45	Mame
SM-3MG46	Kanjobal
SM-3MG47	Tojolabal
SM-3MG48	Tojolabal
SM-3MG49	Tarahumara
SM-3MG4T	13-Otomi
SM-3MG4U	Chinanteco
SM-3MG4V	Popoluca_Sierra
SM-3MG4W	Popoluca_Sierra
SM-3MG4P	13-Otomi
SM-3MG4Q	13-Otomi
SM-3MG4R	13-Otomi
SM-3MG4S	13-Otomi
SM-3MG4X	Totonaco
SM-3MG4Y	Totonaco
SM-3MG4D	Seri
SM-3MG4E	Seri
SM-3MG4F	Seri
SM-3MG4G	Seri
SM-3MG4A	Tarahumara
SM-3MG4B	Tarahumara
SM-3MG4C	Tarahumara
SM-3MG4L	20-Nahuatl
SM-3MG4M	20-Nahuatl
SM-3MG4N	20-Nahuatl
SM-3MG4O	20-Nahuatl
SM-3MG4H	Yaqui
SM-3MG4J	Mayo
SM-3MG4K	Mazateco
SM-3MG57	23-Nahuatl
SM-3MG56	Tacuate
SM-3MG55	Mixteco
SM-3MG54	Huasteco
SM-3MG53	Huasteco
SM-3MG52	Pame
SM-3MG51	Totonaco
SM-3MG59	23-Nahuatl
SM-3MG58	23-Nahuatl
